"","Origin.ID","Destination.ID","Traffic.V"
"1093",199,59,188
"1094",173,41,187
"1095",31,41,187
"1096",27,157,186
"1097",41,183,186
"1098",111,99,185
"1099",151,199,185
"1100",125,113,184
"1101",197,103,184
"1102",199,193,184
"1103",59,199,184
"1104",155,143,183
"1105",109,125,182
"1106",99,111,182
"1107",199,151,181
"1108",199,49,180
"1109",31,107,180
"1110",31,119,180
"1111",63,97,180
"1112",29,113,179
"1113",113,29,178
"1114",19,107,178
"1115",49,115,178
"1116",81,51,178
"1117",97,63,178
"1118",175,179,177
"1119",19,89,177
"1120",197,53,175
"1121",113,41,174
"1122",167,169,174
"1123",19,99,174
"1124",57,167,174
"1125",113,135,173
"1126",119,197,173
"1127",129,137,173
"1128",161,201,173
"1129",203,19,173
"1130",181,55,172
"1131",43,161,171
"1132",157,55,170
"1133",19,173,170
"1134",49,197,170
"1135",169,167,169
"1136",41,113,169
"1137",41,31,169
"1138",199,189,167
"1139",73,31,167
"1140",29,51,166
"1141",143,43,165
"1142",161,179,165
"1143",161,197,165
"1144",179,11,165
"1145",19,35,165
"1146",197,49,165
"1147",43,143,165
"1148",91,93,165
"1149",11,141,164
"1150",167,57,164
"1151",119,21,163
"1152",193,199,163
"1153",99,97,162
"1154",113,73,161
"1155",187,67,160
"1156",107,21,159
"1157",11,179,159
"1158",125,109,159
"1159",29,167,158
"1160",113,11,157
"1161",121,5,157
"1162",123,73,157
"1163",161,43,157
"1164",167,203,157
"1165",173,19,157
"1166",21,107,157
"1167",77,119,156
"1168",93,91,156
"1169",21,49,155
"1170",51,29,155
"1171",195,89,154
"1172",203,31,154
"1173",113,111,153
"1174",189,199,153
"1175",27,133,153
"1176",197,119,152
"1177",199,69,152
"1178",119,115,151
"1179",97,99,151
"1180",11,113,150
"1181",203,39,150
"1182",35,19,150
"1183",107,197,149
"1184",141,97,149
"1185",183,167,149
"1186",67,187,149
"1187",93,141,149
"1188",125,137,148
"1189",179,43,148
"1190",197,195,148
"1191",163,113,147
"1192",183,197,147
"1193",137,129,146
"1194",31,183,146
"1195",33,35,145
"1196",137,119,144
"1197",103,73,143
"1198",115,119,143
"1199",141,113,143
"1200",47,101,143
"1201",57,113,143
"1202",141,93,142
"1203",159,121,142
"1204",121,159,141
"1205",141,161,141
"1206",167,29,141
"1207",167,49,141
"1208",167,99,141
"1209",75,43,141
"1210",81,19,141
"1211",107,19,140
"1212",115,137,140
"1213",135,113,140
"1214",119,107,139
"1215",133,27,139
"1216",203,57,139
"1217",101,79,138
"1218",109,73,138
"1219",181,127,138
"1220",197,107,138
"1221",21,119,138
"1222",27,135,137
"1223",33,29,137
"1224",41,35,137
"1225",57,203,137
"1226",75,49,137
"1227",103,7,136
"1228",199,119,136
"1229",49,21,136
"1230",11,43,135
"1231",127,181,135
"1232",127,77,135
"1233",179,109,135
"1234",19,21,135
"1235",113,57,134
"1236",203,167,134
"1237",89,19,134
"1238",113,137,133
"1239",109,167,132
"1240",183,39,132
"1241",5,121,132
"1242",113,163,131
"1243",113,93,131
"1244",167,63,131
"1245",17,1,131
"1246",55,193,131
"1247",81,31,131
"1248",101,47,130
"1249",23,19,130
"1250",73,197,130
"1251",77,121,130
"1252",83,137,130
"1253",99,167,130
"1254",99,19,130
"1255",145,27,129
"1256",177,89,129
"1257",29,183,129
"1258",51,81,129
"1259",159,29,128
"1260",57,17,128
"1261",97,141,128
"1262",147,173,127
"1263",165,127,127
"1264",21,139,127
"1265",69,199,127
"1266",77,153,127
"1267",109,161,126
"1268",167,109,126
"1269",23,119,126
"1270",31,203,126
"1271",35,41,126
"1272",39,203,126
"1273",85,195,126
"1274",1,17,125
"1275",183,147,125
"1276",195,197,125
"1277",35,33,125
"1278",37,113,125
"1279",95,31,125
"1280",109,17,124
"1281",119,179,124
"1282",25,101,124
"1283",29,33,124
"1284",45,33,124
"1285",55,49,124
"1286",115,51,123
"1287",137,125,123
"1288",37,11,123
"1289",49,167,123
"1290",51,115,123
"1291",113,141,122
"1292",127,165,122
"1293",17,57,122
"1294",77,127,122
"1295",179,119,121
"1296",19,201,121
"1297",7,103,121
"1298",9,109,121
"1299",107,119,120
"1300",109,179,120
"1301",111,113,120
"1302",191,55,120
"1303",203,95,120
"1304",23,159,120
"1305",43,179,120
"1306",49,75,120
"1307",85,141,120
"1308",113,49,119
"1309",159,23,119
"1310",43,75,119
"1311",161,141,118
"1312",189,133,118
"1313",19,23,117
"1314",193,55,117
"1315",21,137,117
"1316",63,167,117
"1317",93,113,117
"1318",115,183,116
"1319",161,109,116
"1320",177,111,116
"1321",191,49,116
"1322",197,115,116
"1323",89,177,116
"1324",125,169,115
"1325",169,125,115
"1326",179,187,115
"1327",29,159,115
"1328",55,119,115
"1329",95,195,115
"1330",135,27,114
"1331",141,85,114
"1332",145,121,114
"1333",161,37,114
"1334",37,161,114
"1335",101,25,113
"1336",115,197,113
"1337",119,77,113
"1338",121,77,113
"1339",153,77,113
"1340",183,179,113
"1341",43,11,113
"1342",53,31,113
"1343",119,19,112
"1344",139,167,112
"1345",145,181,112
"1346",181,145,112
"1347",187,179,112
"1348",137,115,111
"1349",55,191,111
"1350",161,113,110
"1351",113,37,109
"1352",137,83,109
"1353",149,61,109
"1354",167,139,109
"1355",167,5,109
"1356",3,77,109
"1357",49,91,109
"1358",73,123,109
"1359",77,27,109
"1360",109,9,108
"1361",139,21,108
"1362",141,73,108
"1363",143,195,108
"1364",17,109,108
"1365",19,119,108
"1366",113,161,107
"1367",133,189,107
"1368",39,143,107
"1369",51,167,107
"1370",73,113,107
"1371",11,203,106
"1372",193,159,106
"1373",29,197,106
"1374",57,73,106
"1375",79,101,106
"1376",81,181,106
"1377",9,167,106
"1378",95,203,106
"1379",149,17,105
"1380",41,167,105
"1381",49,191,105
"1382",91,183,105
"1383",91,49,105
"1384",11,37,104
"1385",203,11,104
"1386",27,145,104
"1387",77,3,104
"1388",167,51,103
"1389",167,9,103
"1390",17,149,103
"1391",177,37,103
"1392",203,107,103
"1393",107,203,102
"1394",119,23,102
"1395",147,53,102
"1396",197,29,102
"1397",23,51,102
"1398",3,199,102
"1399",61,149,102
"1400",63,73,102
"1401",107,137,101
"1402",31,95,101
"1403",5,167,101
"1404",53,147,101
"1405",159,193,100
"1406",167,201,100
"1407",21,19,100
"1408",49,113,100
"1409",81,87,100
"1410",111,177,99
"1411",137,113,99
"1412",143,63,99
"1413",201,19,99
"1414",203,197,99
"1415",99,7,99
"1416",143,39,98
"1417",19,81,98
"1418",197,203,98
"1419",199,19,98
"1420",55,27,98
"1421",7,99,98
"1422",135,83,97
"1423",165,181,97
"1424",19,111,97
